sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label,time, current_loop, loop_latency, logic_execution_time, tank_input_valve_status(0), tank_input_valve_mode(1), tank_level_value(2), tank_level_min(3), tank_level_max(4), tank_output_valve_status(5), tank_output_valve_mode(6), tank_output_flow_value(7), , conveyor_belt_engine_status(8), conveyor_belt_engine_mode(9), bottle_level_value(10), bottle_level_max(11), bottle_distance_to_filler_value(12)
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2022-09-16 11:14:41.512108,2022-09-16 11:14:41.556656,1663319681.512108,1663319681.556656,2.001771,2.046319,0.044549,8.0,11.0,520.0,668.0,65.0,64.0,65.0,52.0,65.0,60.727,93380.75,119958.348,104.0,96.0,13.0,12.0,13.0,0.0,13.0,8.727,0.0004542895725795,0.0044547796249389,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.727,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.0,0.041,0.0,0.0,0.000139,0.004347,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2022-09-16 11:14:41.515673,2022-09-16 11:14:42.014479,1663319681.515673,1663319682.014479,2.005336,2.504142,0.498807,6.0,12.0,390.0,696.0,65.0,64.0,65.0,52.0,65.0,58.0,6254.924,11162.634,78.0,72.0,13.0,12.0,13.0,0.0,13.0,6.0,0.0997280120849609,0.0453459999778054,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.0,0.497,0.0,0.0,0.000104,0.045295,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2022-09-16 11:14:42.000379,2022-09-16 11:14:42.404321,1663319682.000379,1663319682.404321,2.490042,2.893984,0.403943,21.0,15.0,1239.0,933.0,65.0,65.0,52.0,52.0,59.0,62.2,24538.123,18477.861,147.0,153.0,13.0,13.0,0.0,0.0,7.0,10.2,0.0201781034469604,0.0288506405694144,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.196,0.2,0.0,0.0,0.020134,0.029065,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2022-09-16 11:14:42.012517,2022-09-16 11:14:42.510905,1663319682.012517,1663319682.510905,2.50218,3.000568,0.498389,16.0,32.0,1040.0,1856.0,65.0,64.0,65.0,52.0,65.0,58.0,16693.786,29791.987,208.0,192.0,13.0,12.0,13.0,0.0,13.0,6.0,0.0332133928934733,0.0160770339350546,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.0,0.495,0.0,0.0,8.8e-05,0.016038,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2022-09-16 11:14:42.018006,2022-09-16 11:14:42.511675,1663319682.018006,1663319682.511675,2.507669,3.001338,0.49367,9.0,18.0,585.0,1044.0,65.0,64.0,65.0,52.0,65.0,58.0,9480.021,16918.191,117.0,108.0,13.0,12.0,13.0,0.0,13.0,6.0,0.0616933703422546,0.0290393408607034,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.0,0.492,0.0,0.0,7.3e-05,0.029007,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2022-09-16 11:14:42.600161,2022-09-16 11:14:43.004345,1663319682.600161,1663319683.004345,3.089824,3.494008,0.404185,21.0,15.0,1239.0,933.0,65.0,65.0,52.0,52.0,59.0,62.2,24523.432,18466.797,147.0,153.0,13.0,13.0,0.0,0.0,7.0,10.2,0.0201947927474975,0.0288676364081246,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.197,0.2,0.0,0.0,0.019528,0.028696,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2022-09-16 11:14:43.005187,2022-09-16 11:14:43.009046,1663319683.005187,1663319683.009046,3.49485,3.498709,0.00386,8.0,16.0,520.0,928.0,65.0,64.0,65.0,52.0,65.0,58.0,1077708.168,1923294.576,104.0,96.0,13.0,12.0,13.0,0.0,13.0,6.0,0.0005192756652832,0.0002572695414225,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.001,0.0,0.0,0.000236,0.000148,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2022-09-16 11:14:43.009147,2022-09-16 11:14:43.010783,1663319683.009147,1663319683.010783,3.49881,3.500446,0.001637,5.0,10.0,325.0,580.0,65.0,64.0,65.0,52.0,65.0,58.0,1588243.781,2834404.285,65.0,60.0,13.0,12.0,13.0,0.0,13.0,6.0,0.0002740025520324,0.0001817809210883,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.0,0.0,0.0,0.000211,8.1e-05,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2022-09-16 11:14:43.200991,2022-09-16 11:14:43.652938,1663319683.200991,1663319683.652938,3.690654,4.142601,0.451948,20.0,15.0,1187.0,933.0,65.0,65.0,52.0,52.0,59.35,62.2,21011.268,16515.175,147.0,153.0,13.0,13.0,0.0,0.0,7.35,10.2,0.023760155627602,0.0292035000664847,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,503.05,506.2,0.0,0.0,0.224,0.2,0.0,0.0,0.023827,0.029028,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2022-09-16 11:14:43.509267,2022-09-16 11:14:43.520173,1663319683.509267,1663319683.520173,3.99893,4.009836,0.010907,8.0,16.0,520.0,928.0,65.0,64.0,65.0,52.0,65.0,58.0,381407.098,680664.976,104.0,96.0,13.0,12.0,13.0,0.0,13.0,6.0,0.0014546939304896,0.0007270654042561,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.004,0.0,0.0,0.00052,0.00048,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2022-09-16 11:14:43.520619,2022-09-16 11:14:44.020272,1663319683.520619,1663319684.020272,4.010282,4.509935,0.499654,7.0,11.0,455.0,656.0,65.0,64.0,65.0,52.0,65.0,59.636,7285.04,10503.266,91.0,84.0,13.0,12.0,13.0,0.0,13.0,7.636,0.0831496715545654,0.0499653100967407,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.636,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.002,0.491,0.0,0.0,0.000815,0.053486,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2022-09-16 11:14:43.800380,2022-09-16 11:14:44.205453,1663319683.80038,1663319684.205453,4.290043,4.695116,0.405074,21.0,15.0,1239.0,933.0,65.0,65.0,52.0,52.0,59.0,62.2,24469.607,18426.266,147.0,153.0,13.0,13.0,0.0,0.0,7.0,10.2,0.0202262997627258,0.0289101430347987,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.204,0.21,0.0,0.0,0.020416,0.028939,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2022-09-16 11:14:44.011220,2022-09-16 11:14:44.015798,1663319684.01122,1663319684.015798,4.500883,4.505461,0.004579,8.0,16.0,520.0,928.0,65.0,64.0,65.0,52.0,65.0,58.0,908472.775,1621274.491,104.0,96.0,13.0,12.0,13.0,0.0,13.0,6.0,0.0005435943603515,0.0003052075703938,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.0,0.0,0.0,0.000291,0.000172,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2022-09-16 11:14:44.020785,2022-09-16 11:14:44.024965,1663319684.020785,1663319684.024965,4.510448,4.514628,0.004181,3.0,6.0,195.0,348.0,65.0,64.0,65.0,52.0,65.0,58.0,373120.537,665876.651,39.0,36.0,13.0,12.0,13.0,0.0,13.0,6.0,0.0017759799957275,0.0008359909057617,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.001,0.001,0.0,0.000671,0.000475,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2022-09-16 11:14:44.400586,2022-09-16 11:14:44.804475,1663319684.400586,1663319684.804475,4.890249,5.294138,0.40389,21.0,15.0,1239.0,933.0,65.0,65.0,52.0,52.0,59.0,62.2,24541.325,18480.271,147.0,153.0,13.0,13.0,0.0,0.0,7.0,10.2,0.0201664566993713,0.0288460084370204,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.21,0.2,0.0,0.0,0.019946,0.029009,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2022-09-16 11:14:44.511544,2022-09-16 11:14:45.011459,1663319684.511544,1663319685.011459,5.001207,5.501122,0.499916,10.0,21.0,650.0,1224.0,65.0,64.0,65.0,52.0,65.0,58.286,10401.745,19587.286,130.0,132.0,13.0,12.0,13.0,0.0,13.0,6.286,0.0553727944691975,0.0249957561492919,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.524,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.488,0.0,0.0,0.000492,0.024778,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2022-09-16 11:14:45.011743,2022-09-16 11:14:45.511509,1663319685.011743,1663319685.511509,5.501406,6.001172,0.499767,10.0,17.0,650.0,992.0,65.0,64.0,65.0,52.0,65.0,58.353,10404.851,15879.404,130.0,108.0,13.0,12.0,13.0,0.0,13.0,6.353,0.0555140972137451,0.0312326252460479,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.529,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.493,0.0,0.0,0.000382,0.031692,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2022-09-16 11:14:44.521689,2022-09-16 11:14:45.019480,1663319684.521689,1663319685.01948,5.011352,5.509143,0.497792,10.0,20.0,650.0,1160.0,65.0,64.0,65.0,52.0,65.0,58.0,10446.129,18642.323,130.0,120.0,13.0,12.0,13.0,0.0,13.0,6.0,0.0552542209625244,0.0261995290455065,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.0,0.491,0.0,0.0,0.000322,0.02605,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2022-09-16 11:14:45.002844,2022-09-16 11:14:45.412404,1663319685.002844,1663319685.412404,5.492507,5.902067,0.409561,20.0,15.0,1187.0,933.0,65.0,65.0,52.0,52.0,59.35,62.2,23185.803,18224.393,147.0,153.0,13.0,13.0,0.0,0.0,7.35,10.2,0.021555787638614,0.0292091369628906,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,503.05,506.2,0.0,0.0,0.192,0.199,0.0,0.0,0.023117,0.029426,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2022-09-16 11:14:45.511894,2022-09-16 11:14:45.515792,1663319685.511894,1663319685.515792,6.001557,6.005455,0.003899,4.0,8.0,260.0,464.0,65.0,64.0,65.0,52.0,65.0,58.0,533483.071,952062.096,52.0,48.0,13.0,12.0,13.0,0.0,13.0,6.0,0.0011607011159261,0.0005568436213902,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.0,0.001,0.0,0.0,0.000391,0.000381,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2022-09-16 11:14:45.516142,2022-09-16 11:14:45.565641,1663319685.516142,1663319685.565641,6.005805,6.055304,0.0495,5.0,7.0,325.0,424.0,65.0,64.0,65.0,52.0,65.0,60.571,52525.216,68525.204,65.0,60.0,13.0,12.0,13.0,0.0,13.0,8.571,0.0010219812393188,0.0082498391469319,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.045,0.0,0.0,0.00057,0.007795,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2022-09-16 11:14:45.600668,2022-09-16 11:14:46.007073,1663319685.600668,1663319686.007073,6.090331,6.496736,0.406406,21.0,15.0,1239.0,933.0,65.0,65.0,52.0,52.0,59.0,62.2,24389.405,18365.872,147.0,153.0,13.0,13.0,0.0,0.0,7.0,10.2,0.0202903509140014,0.0290215015411376,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.198,0.2,0.0,0.0,0.020255,0.029551,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2022-09-16 11:14:46.202684,2022-09-16 11:14:46.612941,1663319686.202684,1663319686.612941,6.692347,7.102604,0.410258,21.0,15.0,1239.0,933.0,65.0,65.0,52.0,52.0,59.0,62.2,24160.4,18193.425,147.0,153.0,13.0,13.0,0.0,0.0,7.0,10.2,0.0205128550529479,0.0291814974376133,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.198,0.199,0.0,0.0,0.021068,0.028868,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2022-09-16 11:14:46.029400,2022-09-16 11:14:46.507451,1663319686.0294,1663319686.507451,6.519063,6.997114,0.478052,16.0,32.0,1040.0,1856.0,65.0,64.0,65.0,52.0,65.0,58.0,17403.966,31059.386,208.0,192.0,13.0,12.0,13.0,0.0,13.0,6.0,0.0318005402882893,0.01542099829643,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.466,0.0,0.0,0.000338,0.015285,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
